Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Edition number (product.metafields.custom.edition_number)
over-the-shoulder-line-drawing,Over the Shoulder — Line Drawing,"<p>One unbroken line, a glance back, and a lot of white space: a calm piece for a bedroom or a small wall that needs air, not noise.</p><ul><li>Giclée of an ink drawing on 310gsm textured cotton rag</li><li>Edition of 60, signed and numbered</li><li>Frame: solid wood, museum glass</li><li>Deep white mount on the 50 × 70 cm size</li></ul>",Annex,Art Print,"Limited Editions,print,line art,figurative",TRUE,Size,30 × 40 cm,Frame,Gallery White,ANX-005-01,110.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1780037756259-50472335671f?w=1200&h=1500&fit=crop&q=90,1,Single-line drawing of a woman glancing over her shoulder on textured cream paper,Over the Shoulder — Line Drawing — Annex,"Minimal single-line drawing on cotton rag, edition of 60. Framed in white, oak or black ash.",05/60
over-the-shoulder-line-drawing,,,,,,,,30 × 40 cm,,Natural Oak,ANX-005-02,110.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
over-the-shoulder-line-drawing,,,,,,,,30 × 40 cm,,Black Ash,ANX-005-03,110.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
over-the-shoulder-line-drawing,,,,,,,,50 × 70 cm,,Gallery White,ANX-005-04,190.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
over-the-shoulder-line-drawing,,,,,,,,50 × 70 cm,,Natural Oak,ANX-005-05,190.00,,shopify,5,deny,manual,TRUE,TRUE,,,,,,
over-the-shoulder-line-drawing,,,,,,,,50 × 70 cm,,Black Ash,ANX-005-06,190.00,,shopify,7,deny,manual,TRUE,TRUE,,,,,,
undertow-woodcut-print,Undertow — Woodcut Print,"<p>Heavy black forms that seem to move: this woodcut gives a pale room contrast and weight. Hand-carved block, hand-inked, printed on Japanese paper.</p><ul><li>Relief print from a hand-carved block on kozo paper</li><li>Edition of 25, signed and numbered</li><li>Visible grain and slight pressure variation: marks of the hand</li><li>Frame: black ash or oak, museum glass</li></ul>",Annex,Art Print,"Limited Editions,print,woodcut,abstract",TRUE,Size,30 × 40 cm,Frame,Black Ash,ANX-006-01,220.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1784029477006-432a1f2d467d?w=1200&h=1500&fit=crop&q=90,1,"Black and white abstract woodcut print with sweeping, angular forms",Undertow — Woodcut Print — Annex,"Hand-printed woodcut on Japanese kozo paper, edition of 25.",11/25
undertow-woodcut-print,,,,,,,,30 × 40 cm,,Natural Oak,ANX-006-02,220.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
undertow-woodcut-print,,,,,,,,50 × 70 cm,,Black Ash,ANX-006-03,360.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
undertow-woodcut-print,,,,,,,,50 × 70 cm,,Natural Oak,ANX-006-04,360.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
still-life-with-flowers-museum-reproduction,Still Life with Flowers — Museum Reproduction,"<p>A Dutch-style floral still life, rich and dark, that gives a dining room the depth of an old house. Reproduced from a public-domain painting at high resolution.</p><ul><li>Archival pigment print on 330gsm matte canvas paper</li><li>Open edition, numbered certificate</li><li>Frame: walnut or black ash, anti-reflective glass</li><li>Colour-matched to the original</li></ul>",Annex,Art Print,"Limited Editions,print,still life,classical",TRUE,Size,30 × 40 cm,Frame,Walnut,ANX-007-01,120.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1700213396514-60d06f610e72?w=1200&h=1500&fit=crop&q=90,1,Classical still life painting of mixed flowers in a terracotta vase on a stone ledge,Still Life with Flowers — Museum Reproduction — Annex,Museum-quality reproduction of a classical floral still life on canvas paper.,
still-life-with-flowers-museum-reproduction,,,,,,,,30 × 40 cm,,Black Ash,ANX-007-02,120.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
still-life-with-flowers-museum-reproduction,,,,,,,,50 × 70 cm,,Walnut,ANX-007-03,205.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
still-life-with-flowers-museum-reproduction,,,,,,,,50 × 70 cm,,Black Ash,ANX-007-04,205.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
the-valley-at-dusk-museum-reproduction,The Valley at Dusk — Museum Reproduction,"<p>A wide 19th-century landscape with a low sun and a long view: it makes a small room feel bigger. Reproduced from a public-domain painting.</p><ul><li>Archival pigment print on 330gsm matte canvas paper</li><li>Open edition, numbered certificate</li><li>Frame: walnut or oak, anti-reflective glass</li><li>Colour-matched to the original</li></ul>",Annex,Art Print,"Limited Editions,print,landscape,classical",TRUE,Size,30 × 40 cm,Frame,Walnut,ANX-008-01,120.00,150.00,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1688589935455-7793f9f52a2d?w=1200&h=1500&fit=crop&q=90,1,Classical landscape painting of a valley with a tall tree at sunset,The Valley at Dusk — Museum Reproduction — Annex,Museum-quality reproduction of a classical landscape at dusk on canvas paper.,
the-valley-at-dusk-museum-reproduction,,,,,,,,30 × 40 cm,,Natural Oak,ANX-008-02,120.00,150.00,shopify,8,deny,manual,TRUE,TRUE,,,,,,
the-valley-at-dusk-museum-reproduction,,,,,,,,50 × 70 cm,,Walnut,ANX-008-03,205.00,250.00,shopify,6,deny,manual,TRUE,TRUE,,,,,,
the-valley-at-dusk-museum-reproduction,,,,,,,,50 × 70 cm,,Natural Oak,ANX-008-04,205.00,250.00,shopify,10,deny,manual,TRUE,TRUE,,,,,,
carnival-weather-original,Carnival Weather — Acrylic on Canvas,"<p>Thick, joyful strokes of red, cobalt and yellow: a statement piece that becomes the reason a room is remembered. One of one, signed on the reverse.</p><ul><li>Acrylic on stretched cotton canvas, 3.5cm deep edges</li><li>Original, 1/1, signed and dated</li><li>Framed in a natural oak float frame</li><li>Insured, tracked delivery in a custom crate</li></ul>",Annex,Original Artwork,"Originals,painting,abstract,acrylic",TRUE,Size,76 × 102 cm,Frame,Natural Oak,ANX-009-01,2400.00,,shopify,1,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1605721911519-3dfeb3be25e7?w=1200&h=1500&fit=crop&q=90,1,"Close view of a bright abstract acrylic painting in red, blue, yellow and white",Carnival Weather — Acrylic on Canvas — Annex,"Original abstract acrylic on canvas, 76 × 102 cm, one of one. Oak float frame.",1/1
graphite-tide-original,Graphite Tide — Acrylic on Canvas,"<p>Black, white and silver-grey dragged across the canvas like weather over water: a calm, dramatic piece for a monochrome room.</p><ul><li>Acrylic on stretched linen, 3.5cm deep edges</li><li>Original, 1/1, signed and dated</li><li>Framed in a black ash float frame</li><li>Insured, tracked delivery in a custom crate</li></ul>",Annex,Original Artwork,"Originals,painting,abstract,monochrome",TRUE,Size,61 × 91 cm,Frame,Black Ash,ANX-010-01,1850.00,,shopify,1,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1541512416146-3cf58d6b27cc?w=1200&h=1500&fit=crop&q=90,1,"Abstract painting of black, white and grey brushstrokes on textured canvas",Graphite Tide — Acrylic on Canvas — Annex,"Original monochrome abstract on linen, 61 × 91 cm, one of one.",1/1
ember-field-original,Ember Field — Oil on Canvas,"<p>Heavy impasto in ochre and burnt orange that catches the light differently every hour: warmth you can almost touch.</p><ul><li>Oil on canvas, palette-knife impasto</li><li>Original, 1/1, signed and dated</li><li>Framed in a walnut float frame</li><li>Insured, tracked delivery in a custom crate</li></ul>",Annex,Original Artwork,"Originals,painting,abstract,oil",TRUE,Size,50 × 60 cm,Frame,Walnut,ANX-011-01,1450.00,,shopify,0,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1756363212205-2e242580a65c?w=1200&h=1500&fit=crop&q=90,1,Close view of thick orange and yellow impasto oil paint,Ember Field — Oil on Canvas — Annex,"Original impasto oil on canvas in ochre and orange, 50 × 60 cm, one of one.",1/1
night-harbour-original,Night Harbour — Mixed Media on Panel,"<p>Deep blue with flecks of amber, like harbour lights on dark water: moody and rich in a softly lit living room.</p><ul><li>Oil, acrylic and wax on birch panel</li><li>Original, 1/1, signed and dated</li><li>Framed in a black ash float frame</li><li>Insured, tracked delivery</li></ul>",Annex,Original Artwork,"Originals,painting,abstract,mixed media",TRUE,Size,40 × 50 cm,Frame,Black Ash,ANX-012-01,980.00,,shopify,1,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1780396434453-ed3170083684?w=1200&h=1500&fit=crop&q=90,1,Textured abstract painting in dark blue with orange and yellow flecks,Night Harbour — Mixed Media on Panel — Annex,"Original mixed media on birch panel, deep blue and amber, 40 × 50 cm.",1/1
quiet-rooms-original,Quiet Rooms — Acrylic on Paper,"<p>Soft blocks of teal, cream and plum layered like rooms seen through doorways: gentle colour for a space that needs calm.</p><ul><li>Acrylic on 640gsm cotton paper</li><li>Original, 1/1, signed on the front</li><li>Framed in white with a deep mount and museum glass</li><li>Ships in 5–7 days</li></ul>",Annex,Original Artwork,"Originals,painting,abstract,works on paper",TRUE,Size,42 × 59 cm,Frame,Gallery White,ANX-013-01,720.00,,shopify,1,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1618331835717-801e976710b2?w=1200&h=1500&fit=crop&q=90,1,"Abstract painting of layered teal, cream and plum blocks of colour",Quiet Rooms — Acrylic on Paper — Annex,"Original acrylic on cotton paper in teal, cream and plum, 42 × 59 cm.",1/1
under-the-linden-original,Under the Linden — Oil on Linen,"<p>Looking up through leaves on a bright day: loose, fresh brushwork that brings the outside into a north-facing room.</p><ul><li>Oil on primed Belgian linen</li><li>Original, 1/1, signed and dated</li><li>Framed in a natural oak float frame</li><li>Insured, tracked delivery in a custom crate</li></ul>",Annex,Original Artwork,"Originals,painting,figurative,oil",TRUE,Size,60 × 80 cm,Frame,Natural Oak,ANX-014-01,1650.00,,shopify,1,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1700212964247-74e162dce447?w=1200&h=1500&fit=crop&q=90,1,Painterly oil study of green and blue leaves in a tree canopy,Under the Linden — Oil on Linen — Annex,"Original oil on linen of a tree canopy in leaf, 60 × 80 cm, one of one.",1/1
dusk-over-heather-original,Dusk over Heather — Oil on Canvas,"<p>Mauve, rust and dusk-blue built up in layers: a painting that changes from warm to cool as the day goes.</p><ul><li>Oil on canvas, knife and brush</li><li>Original, 1/1, signed and dated</li><li>Framed in a walnut float frame</li><li>Insured, tracked delivery in a custom crate</li></ul>",Annex,Original Artwork,"Originals,painting,abstract,oil",TRUE,Size,70 × 90 cm,Frame,Walnut,ANX-015-01,2100.00,,shopify,0,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1619878627081-85dd33d8667e?w=1200&h=1500&fit=crop&q=90,1,"Close view of an abstract oil painting in mauve, rust and blue impasto",Dusk over Heather — Oil on Canvas — Annex,"Original abstract oil in mauve and rust, 70 × 90 cm, one of one.",1/1
green-rain-original,Green Rain — Acrylic on Canvas,"<p>Vertical sweeps of emerald and jade that read like rain on glass: fresh, energetic colour for a bright white room.</p><ul><li>Acrylic on stretched cotton canvas</li><li>Original, 1/1, signed and dated</li><li>Framed in a gallery-white float frame</li><li>Insured, tracked delivery</li></ul>",Annex,Original Artwork,"Originals,painting,abstract,acrylic",TRUE,Size,50 × 70 cm,Frame,Gallery White,ANX-016-01,1150.00,,shopify,1,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1578059456805-cd4809a05d70?w=1200&h=1500&fit=crop&q=90,1,Abstract acrylic painting of vertical emerald and jade brushstrokes,Green Rain — Acrylic on Canvas — Annex,"Original emerald abstract acrylic on canvas, 50 × 70 cm, one of one.",1/1
lone-tree-low-tide-photograph,"Lone Tree, Low Tide — Photograph","<p>A single bare tree holding its ground at the water’s edge: stillness for a bedroom or office. Long exposure, printed in rich, neutral blacks.</p><ul><li>Archival pigment print on 310gsm baryta paper</li><li>Edition of 30, signed and numbered</li><li>Frame: black ash, oak or white, museum glass</li><li>Printed to order in 5–7 days</li></ul>",Annex,Photography,"Photography,black and white,landscape",TRUE,Size,30 × 40 cm,Frame,Black Ash,ANX-017-01,160.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1610621062045-ef5f7201bb3f?w=1200&h=1500&fit=crop&q=90,1,Black and white photograph of a lone bare tree on a rocky shoreline,"Lone Tree, Low Tide — Photograph — Annex","Black and white long exposure of a lone tree, baryta print, edition of 30.",09/30
lone-tree-low-tide-photograph,,,,,,,,30 × 40 cm,,Natural Oak,ANX-017-02,160.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
lone-tree-low-tide-photograph,,,,,,,,30 × 40 cm,,Gallery White,ANX-017-03,160.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
lone-tree-low-tide-photograph,,,,,,,,50 × 70 cm,,Black Ash,ANX-017-04,290.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
lone-tree-low-tide-photograph,,,,,,,,50 × 70 cm,,Natural Oak,ANX-017-05,290.00,,shopify,5,deny,manual,TRUE,TRUE,,,,,,
lone-tree-low-tide-photograph,,,,,,,,50 × 70 cm,,Gallery White,ANX-017-06,290.00,,shopify,7,deny,manual,TRUE,TRUE,,,,,,
morning-crossing-photograph,Morning Crossing — Photograph,"<p>A small boat, a scatter of birds, and a lot of pale sky: a quiet, airy image that opens up a narrow hall.</p><ul><li>Archival pigment print on 310gsm baryta paper</li><li>Edition of 30, signed and numbered</li><li>Frame: gallery white, oak or black ash</li><li>Printed to order in 5–7 days</li></ul>",Annex,Photography,"Photography,black and white,water",TRUE,Size,30 × 40 cm,Frame,Gallery White,ANX-018-01,160.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1571028634586-ae87c1a42432?w=1200&h=1500&fit=crop&q=90,1,Black and white photograph of birds flying over a small boat on a still lake,Morning Crossing — Photograph — Annex,"Minimal black and white photograph of a boat and birds, edition of 30.",14/30
morning-crossing-photograph,,,,,,,,30 × 40 cm,,Natural Oak,ANX-018-02,160.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
morning-crossing-photograph,,,,,,,,30 × 40 cm,,Black Ash,ANX-018-03,160.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
morning-crossing-photograph,,,,,,,,50 × 70 cm,,Gallery White,ANX-018-04,290.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
morning-crossing-photograph,,,,,,,,50 × 70 cm,,Natural Oak,ANX-018-05,290.00,,shopify,5,deny,manual,TRUE,TRUE,,,,,,
morning-crossing-photograph,,,,,,,,50 × 70 cm,,Black Ash,ANX-018-06,290.00,,shopify,7,deny,manual,TRUE,TRUE,,,,,,
slot-canyon-photograph,Slot Canyon — Photograph,"<p>Sandstone walls carved into waves of light and shadow: a sculptural image with depth that rewards a second look.</p><ul><li>Archival pigment print on 310gsm baryta paper</li><li>Edition of 25, signed and numbered</li><li>Frame: black ash or walnut, museum glass</li><li>Printed to order in 5–7 days</li></ul>",Annex,Photography,"Photography,black and white,landscape",TRUE,Size,30 × 40 cm,Frame,Black Ash,ANX-019-01,175.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1506574723610-7fe0f0c7f9ea?w=1200&h=1500&fit=crop&q=90,1,Black and white photograph of curving sandstone walls inside a slot canyon,Slot Canyon — Photograph — Annex,"Black and white slot canyon photograph on baryta paper, edition of 25.",03/25
slot-canyon-photograph,,,,,,,,30 × 40 cm,,Walnut,ANX-019-02,175.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
slot-canyon-photograph,,,,,,,,50 × 70 cm,,Black Ash,ANX-019-03,310.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
slot-canyon-photograph,,,,,,,,50 × 70 cm,,Walnut,ANX-019-04,310.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
chrysanthemum-study-photograph,Chrysanthemum Study — Photograph,"<p>A chrysanthemum shot close, every petal a curve: pattern and softness in one frame, lovely in pairs.</p><ul><li>Archival pigment print on 310gsm baryta paper</li><li>Edition of 40, signed and numbered</li><li>Frame: gallery white, black ash or oak</li><li>Printed to order in 5–7 days</li></ul>",Annex,Photography,"Photography,black and white,botanical",TRUE,Size,30 × 40 cm,Frame,Gallery White,ANX-020-01,150.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1507998021208-973afeacd022?w=1200&h=1500&fit=crop&q=90,1,Black and white close-up photograph of a chrysanthemum flower,Chrysanthemum Study — Photograph — Annex,"Black and white chrysanthemum close-up on baryta paper, edition of 40.",21/40
chrysanthemum-study-photograph,,,,,,,,30 × 40 cm,,Black Ash,ANX-020-02,150.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
chrysanthemum-study-photograph,,,,,,,,30 × 40 cm,,Natural Oak,ANX-020-03,150.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
chrysanthemum-study-photograph,,,,,,,,50 × 70 cm,,Gallery White,ANX-020-04,270.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
chrysanthemum-study-photograph,,,,,,,,50 × 70 cm,,Black Ash,ANX-020-05,270.00,,shopify,5,deny,manual,TRUE,TRUE,,,,,,
chrysanthemum-study-photograph,,,,,,,,50 × 70 cm,,Natural Oak,ANX-020-06,270.00,,shopify,7,deny,manual,TRUE,TRUE,,,,,,
curve-no-2-photograph,Curve No. 2 — Photograph,"<p>One sweeping curve and soft graded light: a minimal abstract that sits well beside furniture with strong lines.</p><ul><li>Archival pigment print on 310gsm baryta paper</li><li>Edition of 30, signed and numbered</li><li>Frame: black ash or gallery white</li><li>Printed to order in 5–7 days</li></ul>",Annex,Photography,"Photography,black and white,abstract",TRUE,Size,30 × 40 cm,Frame,Black Ash,ANX-021-01,150.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1615393457304-e0f4d3f47cd8?w=1200&h=1500&fit=crop&q=90,1,Abstract black and white photograph of a sweeping curve in soft light,Curve No. 2 — Photograph — Annex,"Minimal black and white abstract photograph, edition of 30.",06/30
curve-no-2-photograph,,,,,,,,30 × 40 cm,,Gallery White,ANX-021-02,150.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
curve-no-2-photograph,,,,,,,,50 × 70 cm,,Black Ash,ANX-021-03,270.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
curve-no-2-photograph,,,,,,,,50 × 70 cm,,Gallery White,ANX-021-04,270.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
old-pier-long-exposure-photograph,"Old Pier, Long Exposure — Photograph","<p>Weathered posts running out into a misty sea: a calm, graphic image for a bathroom or bedroom wall.</p><ul><li>Archival pigment print on 310gsm baryta paper</li><li>Edition of 30, signed and numbered</li><li>Frame: gallery white, oak or black ash</li><li>Printed to order in 5–7 days</li></ul>",Annex,Photography,"Photography,black and white,sea",TRUE,Size,30 × 40 cm,Frame,Gallery White,ANX-022-01,160.00,190.00,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1584369660934-1bcb1be6816d?w=1200&h=1500&fit=crop&q=90,1,Long exposure black and white photograph of old pier posts in a misty sea,"Old Pier, Long Exposure — Photograph — Annex","Black and white long exposure of an old pier, edition of 30.",18/30
old-pier-long-exposure-photograph,,,,,,,,30 × 40 cm,,Natural Oak,ANX-022-02,160.00,190.00,shopify,8,deny,manual,TRUE,TRUE,,,,,,
old-pier-long-exposure-photograph,,,,,,,,30 × 40 cm,,Black Ash,ANX-022-03,160.00,190.00,shopify,6,deny,manual,TRUE,TRUE,,,,,,
old-pier-long-exposure-photograph,,,,,,,,50 × 70 cm,,Gallery White,ANX-022-04,290.00,340.00,shopify,10,deny,manual,TRUE,TRUE,,,,,,
old-pier-long-exposure-photograph,,,,,,,,50 × 70 cm,,Natural Oak,ANX-022-05,290.00,340.00,shopify,5,deny,manual,TRUE,TRUE,,,,,,
old-pier-long-exposure-photograph,,,,,,,,50 × 70 cm,,Black Ash,ANX-022-06,290.00,340.00,shopify,7,deny,manual,TRUE,TRUE,,,,,,
cascade-photograph,Cascade — Photograph,"<p>Water turned to silk over dark rock: movement and calm at once, strong enough to hang alone.</p><ul><li>Archival pigment print on 310gsm baryta paper</li><li>Edition of 30, signed and numbered</li><li>Frame: black ash or walnut, museum glass</li><li>Printed to order in 5–7 days</li></ul>",Annex,Photography,"Photography,black and white,water",TRUE,Size,30 × 40 cm,Frame,Black Ash,ANX-023-01,160.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1642714753200-6d6cdb49c323?w=1200&h=1500&fit=crop&q=90,1,Black and white long exposure photograph of a waterfall over dark rocks,Cascade — Photograph — Annex,"Black and white waterfall long exposure on baryta paper, edition of 30.",12/30
cascade-photograph,,,,,,,,30 × 40 cm,,Walnut,ANX-023-02,160.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
cascade-photograph,,,,,,,,50 × 70 cm,,Black Ash,ANX-023-03,290.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
cascade-photograph,,,,,,,,50 × 70 cm,,Walnut,ANX-023-04,290.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
