Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Edition number (product.metafields.custom.edition_number)
iron-rim-dinner-plate,Iron-Rim Dinner Plate,"<p>A quiet plate that makes food the hero: a soft matte centre with a thin iron rim that frames every meal.</p><ul><li>Stoneware, 21cm side or 27cm dinner</li><li>Matte food-safe glaze, iron-oxide rim</li><li>Dishwasher safe, chip-resistant</li><li>Made in small batches</li></ul>",Maison,Plates,"Tableware,plate,stoneware",TRUE,Glaze,Sea Salt,Size,21 cm,MSN-006-01,34.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1705948730553-3ea0c89ae6fb?w=1200&h=1500&fit=crop&q=90,1,Matte grey stoneware plate with a thin brown iron rim on a white surface,Iron-Rim Dinner Plate — Maison,"Matte stoneware plate with an iron-oxide rim, 21cm or 27cm.",
iron-rim-dinner-plate,,,,,,,,Sea Salt,,27 cm,MSN-006-02,42.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
iron-rim-dinner-plate,,,,,,,,Milk White,,21 cm,MSN-006-03,34.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
iron-rim-dinner-plate,,,,,,,,Milk White,,27 cm,MSN-006-04,42.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
ribbed-cobalt-side-plate,Ribbed Side Plate,"<p>A carved ribbed rim under a pooled glaze: it catches the light and turns a slice of cake into an occasion.</p><ul><li>Stoneware, 20cm</li><li>Hand-carved rim, pooled reactive glaze</li><li>Dishwasher safe</li><li>Small batch: glaze pooling varies</li></ul>",Maison,Plates,"Tableware,plate,stoneware",TRUE,Glaze,Cobalt,,,MSN-007-01,32.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1711294545563-3b7fe2816603?w=1200&h=1500&fit=crop&q=90,1,Two cobalt blue ribbed ceramic plates on white marble,Ribbed Side Plate — Maison,"Carved ribbed side plate in a pooled cobalt or celadon glaze, 20cm.",
ribbed-cobalt-side-plate,,,,,,,,Celadon,,,MSN-007-02,32.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
iron-black-ramen-bowl,Iron Black Ramen Bowl,"<p>Deep enough for a full bowl of broth and wide enough for chopsticks: a satin black glaze that makes noodles and greens look vivid.</p><ul><li>Wheel-thrown stoneware, 18cm, 900ml</li><li>Satin food-safe glaze</li><li>Dishwasher and microwave safe</li><li>Made in small batches</li></ul>",Maison,Bowls,"Tableware,bowl,stoneware",TRUE,Glaze,Iron Black,,,MSN-008-01,46.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1733590634381-b58fce897229?w=1200&h=1500&fit=crop&q=90,1,Deep satin black stoneware ramen bowl on a white table,Iron Black Ramen Bowl — Maison,"Deep stoneware ramen bowl, 18cm, 900ml, satin black or milk white.",
iron-black-ramen-bowl,,,,,,,,Milk White,,,MSN-008-02,46.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
moon-vase,Moon Vase,"<p>A full, round form that needs nothing in it: the kind of piece a shelf is arranged around. Thrown in two halves and joined by hand.</p><ul><li>Stoneware, 32cm tall</li><li>Satin glaze inside and out, watertight</li><li>Small batch run of 20, numbered on the base</li><li>Wipe clean with a damp cloth</li></ul>",Maison,Vases,"Vases & Vessels,vase,stoneware,small batch",TRUE,Glaze,Milk White,,,MSN-009-01,165.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1612196808214-b8e1d6145a8c?w=1200&h=1500&fit=crop&q=90,1,Round cream stoneware moon vase on a marble plinth beside a trailing plant,Moon Vase — Maison,"Hand-joined stoneware moon vase, 32cm, small batch of 20.",07/20
moon-vase,,,,,,,,Speckled Oat,,,MSN-009-02,165.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
raw-clay-vessels-set-of-3,Raw Clay Vessels — Set of 3,"<p>Three pinched vessels left unglazed so the texture of the clay shows: sculpture for a mantel, or a home for dried stems.</p><ul><li>Hand-pinched stoneware, 12–18cm</li><li>Unglazed exterior (not watertight): for dried flowers</li><li>Small batch run of 30, numbered</li><li>Each set is unique in shape</li></ul>",Maison,Vases,"Vases & Vessels,vase,set,small batch",TRUE,Glaze,Bisque,,,MSN-010-01,120.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1631125915902-d8abe9225ff2?w=1200&h=1500&fit=crop&q=90,1,Three unglazed hand-pinched clay vessels on a concrete plinth,Raw Clay Vessels — Set of 3 — Maison,"Three hand-pinched unglazed vessels for dried flowers, small batch of 30.",12/30
gourd-bud-vase,Gourd Bud Vase,"<p>A generous belly and a narrow neck that holds three or four stems upright: a bright glaze that makes supermarket flowers look chosen.</p><ul><li>Wheel-thrown stoneware, 18cm tall</li><li>Glossy glaze, watertight</li><li>Dishwasher safe</li><li>Made in small batches</li></ul>",Maison,Vases,"Vases & Vessels,vase,stoneware",TRUE,Glaze,Peacock,,,MSN-011-01,58.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1705526966290-2de7b8a33f03?w=1200&h=1500&fit=crop&q=90,1,Teal gourd-shaped vase holding yellow gerbera daisies against a red wall,Gourd Bud Vase — Maison,"Gourd-shaped bud vase, 18cm, glossy peacock or rust glaze.",
gourd-bud-vase,,,,,,,,Rust,,,MSN-011-02,58.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
fluted-bud-vase,Fluted Bud Vase,"<p>Deep carved flutes that throw soft shadows all day: beautiful empty, better with a few dried grasses.</p><ul><li>Slip-cast porcelain, 16cm tall</li><li>Matte glaze outside, glossy inside, watertight</li><li>Dishwasher safe</li><li>Made in small batches</li></ul>",Maison,Vases,"Vases & Vessels,vase,porcelain",TRUE,Glaze,Milk White,,,MSN-012-01,42.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1597385326531-bfbf6c51c800?w=1200&h=1500&fit=crop&q=90,1,White fluted porcelain bud vase holding dried grasses,Fluted Bud Vase — Maison,"Carved fluted porcelain bud vase, 16cm, milk white or sea salt.",
fluted-bud-vase,,,,,,,,Sea Salt,,,MSN-012-02,42.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
tall-bottle-vase,Tall Bottle Vase,"<p>A slender neck for a single branch and a deep reduction glaze that shifts colour as it runs: a centrepiece that works alone.</p><ul><li>Wheel-thrown stoneware, 38cm tall</li><li>Reduction-fired glaze, watertight</li><li>Small batch run of 40, numbered on the base</li><li>Wipe clean with a damp cloth</li></ul>",Maison,Vases,"Vases & Vessels,vase,stoneware,small batch",TRUE,Glaze,Oxblood,,,MSN-013-01,110.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1526198330131-9b0bc79625e4?w=1200&h=1500&fit=crop&q=90,1,Tall oxblood glazed bottle vase on a white surface,Tall Bottle Vase — Maison,"Reduction-fired stoneware bottle vase, 38cm, oxblood or cobalt, small batch of 40.",15/40
tall-bottle-vase,,,,,,,,Cobalt,,,MSN-013-02,110.00,,shopify,8,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1526198049595-f32cde2a219d?w=1200&h=1500&fit=crop&q=90,2,Tall cobalt blue glazed bottle vase on a white surface,,,
ribbed-bottle-vases-set-of-3,Ribbed Bottle Vases — Set of 3,"<p>Three heights, one family: soft ribbed bottles that make a windowsill or a long table look styled with no effort.</p><ul><li>Slip-cast stoneware, 14 / 18 / 22cm</li><li>Matte glaze, watertight</li><li>Dishwasher safe</li><li>Arrives gift-boxed</li></ul>",Maison,Vases,"Vases & Vessels,vase,set,gift",TRUE,Glaze,Blush,,,MSN-014-01,88.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1719513709219-1d6e405ea017?w=1200&h=1500&fit=crop&q=90,1,Ribbed ceramic bottle vases in soft tones on a wooden board with dried stems,Ribbed Bottle Vases — Set of 3 — Maison,"Three ribbed bottle vases, 14, 18 and 22cm, in blush or stone.",
ribbed-bottle-vases-set-of-3,,,,,,,,Stone,,,MSN-014-02,88.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
earthenware-harvest-jug,Earthenware Harvest Jug,"<p>A tall jug with a pulled handle and a rust glaze that glows in low light: for branches, water at the table, or both.</p><ul><li>Earthenware, 30cm tall, 1.4L</li><li>Glossy glaze inside and out</li><li>Small batch run of 12, numbered</li><li>Hand wash</li></ul>",Maison,Vases,"Vases & Vessels,jug,earthenware,small batch",TRUE,Glaze,Rust,,,MSN-015-01,95.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1769203905448-0ba060069e6f?w=1200&h=1500&fit=crop&q=90,1,Tall rust-brown earthenware jug with a handle on draped linen,Earthenware Harvest Jug — Maison,"Earthenware harvest jug, 30cm, 1.4L, rust glaze, small batch of 12.",03/12
hand-painted-footed-bowl,Hand-Painted Footed Bowl,"<p>A footed bowl painted freehand with trailing ferns: a planter, a fruit bowl, or simply something lovely to look at.</p><ul><li>Stoneware on three feet, 20cm</li><li>Hand-painted underglaze, clear glaze over</li><li>Small batch run of 60, numbered</li><li>Hand wash</li></ul>",Maison,Bowls,"Vases & Vessels,bowl,hand-painted,small batch",TRUE,Glaze,Fern Brushwork,,,MSN-016-01,68.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1565972093658-620985899236?w=1200&h=1500&fit=crop&q=90,1,Cream footed ceramic bowl hand-painted with green ferns,Hand-Painted Footed Bowl — Maison,"Footed stoneware bowl hand-painted with ferns, 20cm, small batch of 60.",21/60
crenellated-serving-bowl,Crenellated Serving Bowl,"<p>A wide bowl with a notched rim that turns a salad into a centrepiece. Matte outside, a pale glaze inside that makes greens look greener.</p><ul><li>Stoneware, 30cm wide</li><li>Matte exterior, glossy interior</li><li>Dishwasher safe</li><li>Made in small batches</li></ul>",Maison,Serveware,"Serving & Tea,bowl,serving",TRUE,Glaze,Celadon,,,MSN-017-01,92.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1601859785003-1b9760be7cd3?w=1200&h=1500&fit=crop&q=90,1,Wide white serving bowl with a notched rim and a pale celadon interior,Crenellated Serving Bowl — Maison,"Wide stoneware serving bowl with a notched rim, 30cm.",
crenellated-serving-bowl,,,,,,,,Milk White,,,MSN-017-02,92.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
blossom-teapot-cane-handle,Blossom Teapot with Cane Handle,"<p>A generous teapot for four, with a woven cane handle that stays cool to the touch. The painted blossoms make it the brightest thing on the table.</p><ul><li>Stoneware, 900ml, with stainless infuser</li><li>Hand-painted underglaze</li><li>Cane handle removable for washing</li><li>Hand wash</li></ul>",Maison,Teaware,"Serving & Tea,teapot,tea",TRUE,Glaze,Cobalt,,,MSN-018-01,86.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1642145239592-a3ad7308726d?w=1200&h=1500&fit=crop&q=90,1,Cobalt blue teapot painted with white blossoms and a woven cane handle,Blossom Teapot with Cane Handle — Maison,"Hand-painted cobalt teapot for four with a cane handle and infuser, 900ml.",
unglazed-clay-teapot,Unglazed Clay Teapot,"<p>Porous clay that seasons with every pot you brew, rounding out oolong and black teas over time: a teapot that gets better with you.</p><ul><li>Unglazed clay, 250ml</li><li>Pours cleanly, fine-mesh spout</li><li>Rinse with hot water only, no soap</li><li>Small batch</li></ul>",Maison,Teaware,"Serving & Tea,teapot,tea",TRUE,Glaze,Rust,,,MSN-019-01,120.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1607644962019-09feffe09624?w=1200&h=1500&fit=crop&q=90,1,Two small unglazed clay teapots on a warm wooden table,Unglazed Clay Teapot — Maison,"Unglazed clay teapot, 250ml, for oolong and black tea.",
unglazed-clay-teapot,,,,,,,,Moss,,,MSN-019-02,120.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
espresso-cup-and-saucer,Espresso Cup & Saucer,"<p>A thin-rimmed cup that feels light in the hand and keeps crema intact, on a saucer with a well so it never slides.</p><ul><li>Porcelain, 90ml</li><li>Glossy food-safe glaze</li><li>Dishwasher safe</li><li>Single or set of two</li></ul>",Maison,Teaware,"Serving & Tea,cup,coffee",TRUE,Glaze,Milk White,Set,Single,MSN-020-01,28.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1610478506025-8110cc8f1986?w=1200&h=1500&fit=crop&q=90,1,White porcelain cup and saucer holding steaming coffee on a dark table,Espresso Cup & Saucer — Maison,"Porcelain espresso cup and saucer, 90ml. Single or set of two.",
espresso-cup-and-saucer,,,,,,,,Milk White,,Set of 2,MSN-020-02,52.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
espresso-cup-and-saucer,,,,,,,,Iron Black,,Single,MSN-020-03,28.00,,shopify,6,deny,manual,TRUE,TRUE,,,,,,
espresso-cup-and-saucer,,,,,,,,Iron Black,,Set of 2,MSN-020-04,52.00,,shopify,10,deny,manual,TRUE,TRUE,,,,,,
cream-jug,Cream Jug,"<p>A small jug with a sharp, drip-free spout: milk for tea, syrup for pancakes, or a single garden flower.</p><ul><li>Stoneware, 200ml</li><li>Glossy glaze, drip-free spout</li><li>Dishwasher safe</li><li>Made in small batches</li></ul>",Maison,Serveware,"Serving & Tea,jug,serving",TRUE,Glaze,Milk White,,,MSN-021-01,34.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1784901389095-9843fdc5463e?w=1200&h=1500&fit=crop&q=90,1,Small off-white stoneware cream jug on a white background,Cream Jug — Maison,"Stoneware cream jug with a drip-free spout, 200ml.",
celadon-pitcher,Celadon Pitcher,"<p>A full-bellied pitcher for water, lemonade or a big bunch of flowers, with a glaze that runs from moss to pale green as it breaks over the rim.</p><ul><li>Wheel-thrown stoneware, 1.5L</li><li>Reactive glaze, watertight</li><li>Small batch run of 25, numbered</li><li>Hand wash</li></ul>",Maison,Serveware,"Serving & Tea,pitcher,serving,small batch",TRUE,Glaze,Moss,,,MSN-022-01,92.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1641083993161-4240941837e6?w=1200&h=1500&fit=crop&q=90,1,Green glazed stoneware pitcher beside three oranges against a red backdrop,Celadon Pitcher — Maison,"Wheel-thrown stoneware pitcher, 1.5L, reactive moss or celadon glaze.",09/25
celadon-pitcher,,,,,,,,Celadon,,,MSN-022-02,92.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
wide-serving-bowl,Wide Serving Bowl,"<p>A shallow bowl wide enough for a whole roast vegetable tray: from oven-warm to the table, and it still looks calm.</p><ul><li>Stoneware, 28cm</li><li>Satin food-safe glaze</li><li>Oven-safe to 220°C, dishwasher safe</li><li>Made in small batches</li></ul>",Maison,Serveware,"Serving & Tea,bowl,serving",TRUE,Glaze,Speckled Oat,,,MSN-023-01,74.00,,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1769163211419-f6befc56b8ff?w=1200&h=1500&fit=crop&q=90,1,Wide shallow cream stoneware serving bowl on a dark table,Wide Serving Bowl — Maison,"Wide shallow stoneware serving bowl, 28cm, oven-safe.",
wide-serving-bowl,,,,,,,,Sea Salt,,,MSN-023-02,74.00,,shopify,8,deny,manual,TRUE,TRUE,,,,,,
four-place-table-set,Four-Place Table Set,"<p>Everything for a table of four in one box: dinner plates, side plates and bowls in one glaze, so the table matches from the first meal.</p><ul><li>12 pieces: 4 dinner plates, 4 side plates, 4 bowls</li><li>Stoneware, satin glaze</li><li>Dishwasher and microwave safe</li><li>Save against buying separately</li></ul>",Maison,Serveware,"Serving & Tea,set,tableware,gift",TRUE,Glaze,Speckled Oat,,,MSN-024-01,320.00,368.00,shopify,12,deny,manual,TRUE,TRUE,https://images.unsplash.com/photo-1694830470387-2e0f234ecaf7?w=1200&h=1500&fit=crop&q=90,1,"A wooden dining table laid with cream stoneware plates, bowls and a jug",Four-Place Table Set — Maison,"Twelve-piece stoneware table set for four: dinner plates, side plates and bowls.",
four-place-table-set,,,,,,,,Milk White,,,MSN-024-02,320.00,368.00,shopify,8,deny,manual,TRUE,TRUE,,,,,,
